order_id,user_id,restaurant_id,total_amount,name,city,membership,user_user_id,restaurant_name,cuisine,rating
63,205,339,1107.3,User_205,Pune,Gold,205,Annapurna Eatery South Indian,,
64,1565,189,625.41,User_1565,Pune,Regular,1565,Hotel Curry House Non-Veg,,
65,2905,220,881.86,User_2905,Pune,Gold,2905,Spice Kitchen North Indian,,
66,340,70,1356.31,User_340,Chennai,Regular,340,Swagath Delights Punjabi,,
67,2716,233,781.02,User_2716,Pune,Regular,2716,Grand Cafe Family Restaurant,,
68,850,292,165.97,User_850,Chennai,Regular,850,Amma Cafe North Indian,,
69,929,162,1377.54,User_929,Chennai,Gold,929,New Foods Multicuisine,,
70,179,463,890.18,User_179,Bangalore,Regular,179,Hotel Delights Chinese,,
71,773,256,1401.97,User_773,Pune,Gold,773,Sri Curry House Andhra,,
72,204,413,575.36,User_204,Bangalore,Regular,204,Sai Curry House Punjabi,,
73,1725,80,765.76,User_1725,Bangalore,Gold,1725,Spice Mess Chinese,,
74,1284,229,1223.01,User_1284,Chennai,Regular,1284,Ruchi Mess Family Restaurant,,
75,849,444,700.31,User_849,Pune,Regular,849,Classic Cafe Family Restaurant,,
76,1565,233,1117.61,User_1565,Pune,Regular,1565,Grand Cafe Family Restaurant,,
77,1632,80,851.28,User_1632,Bangalore,Regular,1632,Spice Mess Chinese,,
78,2286,432,271.81,User_2286,Chennai,Regular,2286,Hotel Eatery Pure Veg,,
79,1396,242,1052.51,User_1396,Pune,Gold,1396,Classic Dhaba Punjabi,,
80,1965,291,1323.7,User_1965,Hyderabad,Gold,1965,Annapurna Foods Non-Veg,,
81,2320,368,537.78,User_2320,Hyderabad,Gold,2320,Sri Dhaba Pure Veg,,
82,38,257,1326.03,User_38,Chennai,Gold,38,Sri Kitchen Family Restaurant,,
83,1149,347,961.02,User_1149,Chennai,Gold,1149,Amma Delights Chinese,,
84,2879,196,488.53,User_2879,Pune,Gold,2879,Hotel Curry House Chinese,,
85,2917,201,1102.52,User_2917,Bangalore,Gold,2917,Spice Cafe Pure Veg,,
86,2563,423,1018.04,User_2563,Hyderabad,Regular,2563,Royal Tiffins Multicuisine,,
87,1750,385,1103.42,User_1750,Pune,Gold,1750,Ruchi Mess Multicuisine,,
88,58,320,196.11,User_58,Bangalore,Regular,58,Hotel Cafe Multicuisine,,
89,1619,158,619.05,User_1619,Bangalore,Regular,1619,Hotel Biryani Pure Veg,,
90,2760,320,264.05,User_2760,Hyderabad,Regular,2760,Hotel Cafe Multicuisine,,
91,2309,476,391.36,User_2309,Chennai,Gold,2309,Royal Curry House Multicuisine,,
92,81,200,870.09,User_81,Chennai,Regular,81,Annapurna Restaurant Pure Veg,,
93,2874,1,441.18,User_2874,Hyderabad,Regular,2874,Royal Kitchen Family Restaurant,Chinese,
94,587,176,285.28,User_587,Chennai,Regular,587,Classic Delights North Indian,,
95,570,280,795.58,User_570,Bangalore,Gold,570,Taste of Dhaba Andhra,,
96,1048,157,711.84,User_1048,Pune,Regular,1048,Sai Restaurant Family Restaurant,,
97,614,335,190.14,User_614,Hyderabad,Regular,614,New Biryani Family Restaurant,,
98,1135,161,1225.83,User_1135,Bangalore,Regular,1135,Annapurna Biryani South Indian,,
99,549,11,146.68,User_549,Pune,Gold,549,Taste of Kitchen Family Restaurant,,
100,2811,484,632.94,User_2811,Bangalore,Gold,2811,Taste of Biryani Punjabi,,
101,1337,96,852.59,User_1337,Bangalore,Regular,1337,Annapurna Biryani Non-Veg,,
102,991,482,913.83,User_991,Pune,Regular,991,Classic Tiffins Pure Veg,,
103,1922,492,1017.18,User_1922,Chennai,Gold,1922,Swagath Kitchen North Indian,,
104,1115,379,1191.17,User_1115,Chennai,Regular,1115,New Dhaba South Indian,,
105,804,407,109.14,User_804,Bangalore,Gold,804,Grand Cafe Chinese,,
106,2873,68,1352.79,User_2873,Pune,Gold,2873,Taste of Biryani Andhra,,
107,1118,388,1037.09,User_1118,Pune,Gold,1118,Spice Cafe South Indian,,
108,1493,5,1375.29,User_1493,Chennai,Regular,1493,Udupi Foods South Indian,,
109,532,432,1461.82,User_532,Hyderabad,Gold,532,Hotel Eatery Pure Veg,,
110,1350,220,932.09,User_1350,Bangalore,Gold,1350,Spice Kitchen North Indian,,
111,1416,66,1346.23,User_1416,Pune,Regular,1416,Swagath Dhaba Punjabi,,
112,2446,447,149.76,User_2446,Bangalore,Gold,2446,Amma Biryani South Indian,,
113,2265,28,475.81,User_2265,Pune,Gold,2265,Swagath Delights Multicuisine,,
114,142,390,842.42,User_142,Pune,Regular,142,Grand Restaurant Pure Veg,,
115,827,184,367.72,User_827,Chennai,Gold,827,Annapurna Tiffins Punjabi,,
116,2476,319,296.82,User_2476,Pune,Regular,2476,Darbar Eatery Family Restaurant,,
117,1449,328,1485.31,User_1449,Pune,Gold,1449,Ruchi Curry House Andhra,,
118,1209,209,880.41,User_1209,Bangalore,Gold,1209,Royal Tiffins Family Restaurant,,
119,1741,257,1008.64,User_1741,Pune,Gold,1741,Sri Kitchen Family Restaurant,,
120,1385,379,1146.39,User_1385,Bangalore,Regular,1385,New Dhaba South Indian,,
121,383,438,930.64,User_383,Hyderabad,Regular,383,Grand Biryani Pure Veg,,
122,2661,376,769.46,User_2661,Chennai,Gold,2661,Amma Cafe Non-Veg,,
123,2440,73,1492.73,User_2440,Pune,Regular,2440,Spice Mess Andhra,,
124,257,102,996.95,User_257,Chennai,Regular,257,Darbar Foods Andhra,,
125,1649,14,1345.86,User_1649,Chennai,Gold,1649,Taste of Tiffins North Indian,,
126,970,122,320.68,User_970,Bangalore,Regular,970,Amma Eatery Non-Veg,,
127,2913,309,1251.4,User_2913,Pune,Gold,2913,Ruchi Curry House Multicuisine,,
128,42,152,379.57,User_42,Bangalore,Regular,42,Hotel Curry House Punjabi,,
129,1227,46,158.62,User_1227,Hyderabad,Gold,1227,Udupi Delights Family Restaurant,,
130,1128,418,710.77,User_1128,Pune,Gold,1128,Annapurna Foods Multicuisine,,
131,2850,389,1406.07,User_2850,Hyderabad,Gold,2850,Ruchi Mess Multicuisine,,
132,778,302,198.22,User_778,Hyderabad,Gold,778,Spice Curry House Andhra,,
133,2384,165,872.28,User_2384,Pune,Regular,2384,Udupi Kitchen Chinese,,
134,45,220,775.17,User_45,Hyderabad,Gold,45,Spice Kitchen North Indian,,
135,912,483,365.07,User_912,Bangalore,Regular,912,Darbar Restaurant Family Restaurant,,
136,2643,175,968.84,User_2643,Chennai,Regular,2643,Sai Biryani Non-Veg,,
137,1603,20,1401.56,User_1603,Chennai,Gold,1603,Hotel Cafe Punjabi,,
138,880,384,1140.38,User_880,Pune,Regular,880,Annapurna Biryani Andhra,,
139,1639,19,1446.43,User_1639,Hyderabad,Regular,1639,Classic Biryani Chinese,,
140,765,381,1381.41,User_765,Hyderabad,Gold,765,New Delights North Indian,,
141,1831,384,1129.47,User_1831,Hyderabad,Gold,1831,Annapurna Biryani Andhra,,
142,1860,112,1331.64,User_1860,Chennai,Gold,1860,Grand Cafe Punjabi,,
143,1729,259,158.75,User_1729,Chennai,Gold,1729,Amma Curry House Family Restaurant,,
144,2519,452,247.03,User_2519,Chennai,Gold,2519,Classic Delights Multicuisine,,
145,1243,11,365.51,User_1243,Hyderabad,Gold,1243,Taste of Kitchen Family Restaurant,,
146,93,2,1250.74,User_93,Bangalore,Regular,93,Royal Delights South Indian,,
147,1821,268,172.91,User_1821,Hyderabad,Regular,1821,Annapurna Biryani Multicuisine,,
148,1975,73,607.82,User_1975,Bangalore,Regular,1975,Spice Mess Andhra,,
149,2337,345,932.79,User_2337,Bangalore,Gold,2337,Sai Tiffins Chinese,,
150,2136,486,1402.24,User_2136,Hyderabad,Regular,2136,Udupi Mess Andhra,,
151,863,474,1148.35,User_863,Bangalore,Gold,863,Annapurna Tiffins Pure Veg,,
152,2115,176,112.31,User_2115,Pune,Gold,2115,Classic Delights North Indian,,
153,2832,34,641.49,User_2832,Hyderabad,Gold,2832,Ruchi Dhaba Multicuisine,,
154,623,244,221.42,User_623,Pune,Gold,623,Amma Tiffins South Indian,,
155,2523,90,484.27,User_2523,Pune,Gold,2523,Classic Biryani Pure Veg,,
156,282,179,1373.33,User_282,Chennai,Gold,282,Annapurna Foods Multicuisine,,
157,436,120,439.11,User_436,Bangalore,Gold,436,Classic Biryani Multicuisine,,
158,2732,182,439.9,User_2732,Hyderabad,Regular,2732,Annapurna Restaurant Andhra,,
159,2152,357,1070.88,User_2152,Chennai,Gold,2152,Grand Mess Punjabi,,
160,1291,381,139.67,User_1291,Chennai,Gold,1291,New Delights North Indian,,
161,354,319,175.84,User_354,Chennai,Regular,354,Darbar Eatery Family Restaurant,,
162,939,208,763.73,User_939,Chennai,Regular,939,New Curry House South Indian,,
163,2852,86,190.64,User_2852,Pune,Regular,2852,Sri Curry House Chinese,,
164,2241,104,411.65,User_2241,Chennai,Regular,2241,Grand Dhaba South Indian,,
165,1982,325,761.84,User_1982,Chennai,Gold,1982,Sri Cafe North Indian,,
166,1583,169,456.5,User_1583,Hyderabad,Gold,1583,Ruchi Curry House Pure Veg,,
167,1644,483,427.18,User_1644,Bangalore,Regular,1644,Darbar Restaurant Family Restaurant,,
168,1437,135,1357.22,User_1437,Hyderabad,Gold,1437,Amma Eatery Non-Veg,,
169,2475,320,1013.3,User_2475,Pune,Gold,2475,Hotel Cafe Multicuisine,,
170,2134,290,1352.94,User_2134,Hyderabad,Regular,2134,Taste of Kitchen Chinese,,
171,968,319,1102.1,User_968,Bangalore,Regular,968,Darbar Eatery Family Restaurant,,
172,1953,332,1307.06,User_1953,Chennai,Gold,1953,Classic Delights Family Restaurant,,
173,1352,109,164.31,User_1352,Pune,Gold,1352,Swagath Delights South Indian,,
174,740,371,1161.71,User_740,Hyderabad,Gold,740,Sai Dhaba Family Restaurant,,
175,238,379,1482.75,User_238,Hyderabad,Regular,238,New Dhaba South Indian,,
176,2544,171,552.39,User_2544,Hyderabad,Gold,2544,Ruchi Mess Non-Veg,,
177,2271,117,1088.98,User_2271,Pune,Gold,2271,Darbar Eatery North Indian,,
178,424,375,1402.18,User_424,Bangalore,Gold,424,Hotel Delights Multicuisine,,
179,1437,91,703.69,User_1437,Hyderabad,Gold,1437,Annapurna Mess Non-Veg,,
180,816,399,1289.82,User_816,Chennai,Regular,816,Swagath Cafe Multicuisine,,
181,1090,136,1437.19,User_1090,Pune,Regular,1090,Hotel Cafe South Indian,,
182,131,123,1470.97,User_131,Chennai,Gold,131,Grand Restaurant Non-Veg,,
183,724,489,561.65,User_724,Hyderabad,Regular,724,Swagath Foods Punjabi,,
184,1945,391,518.58,User_1945,Pune,Regular,1945,Sri Biryani Family Restaurant,,
185,1722,54,105.4,User_1722,Hyderabad,Gold,1722,Ruchi Tiffins Multicuisine,,
186,2704,285,1028.25,User_2704,Pune,Gold,2704,Ruchi Eatery North Indian,,
187,2805,116,803.92,User_2805,Bangalore,Regular,2805,Grand Cafe Punjabi,,
188,2666,277,558.85,User_2666,Chennai,Gold,2666,Swagath Restaurant North Indian,,
189,574,442,805.04,User_574,Chennai,Regular,574,Sai Eatery Andhra,,
190,1542,237,501.58,User_1542,Bangalore,Regular,1542,Grand Restaurant South Indian,,
191,2482,116,1340.73,User_2482,Chennai,Regular,2482,Grand Cafe Punjabi,,
192,345,76,862.55,User_345,Chennai,Gold,345,Amma Kitchen Punjabi,,
193,2405,126,261.66,User_2405,Bangalore,Regular,2405,Spice Tiffins North Indian,,
194,914,183,401.42,User_914,Bangalore,Regular,914,Taste of Biryani Non-Veg,,
195,1258,58,1179.75,User_1258,Pune,Regular,1258,Sai Biryani Multicuisine,,
196,789,254,967.6,User_789,Pune,Regular,789,Ruchi Dhaba Chinese,,
197,996,58,619.68,User_996,Chennai,Gold,996,Sai Biryani Multicuisine,,
198,767,243,1389.57,User_767,Hyderabad,Gold,767,Grand Tiffins South Indian,,
199,2543,94,844.75,User_2543,Pune,Regular,2543,Taste of Eatery Andhra,,
200,2619,263,258.38,User_2619,Bangalore,Regular,2619,Grand Curry House Andhra,,
201,1782,49,375.74,User_1782,Hyderabad,Gold,1782,Amma Curry House Punjabi,,
202,1347,43,1169.6,User_1347,Chennai,Gold,1347,Sai Cafe North Indian,,
203,482,376,986.26,User_482,Hyderabad,Regular,482,Amma Cafe Non-Veg,,
204,2094,364,1164.27,User_2094,Hyderabad,Gold,2094,Sri Foods Non-Veg,,
205,1380,54,121.12,User_1380,Hyderabad,Regular,1380,Ruchi Tiffins Multicuisine,,
206,253,308,200.98,User_253,Chennai,Regular,253,Annapurna Biryani Family Restaurant,,
207,2453,218,1441.98,User_2453,Pune,Regular,2453,Sai Foods Pure Veg,,
208,1642,352,1250.84,User_1642,Bangalore,Gold,1642,Hotel Kitchen Multicuisine,,
209,761,232,353.88,User_761,Pune,Regular,761,New Dhaba Family Restaurant,,
210,1816,458,169.2,User_1816,Pune,Regular,1816,Swagath Mess Pure Veg,,
211,1209,437,484.58,User_1209,Bangalore,Gold,1209,Swagath Tiffins Chinese,,
212,2339,20,390.16,User_2339,Pune,Regular,2339,Hotel Cafe Punjabi,,
213,2626,374,701.52,User_2626,Bangalore,Gold,2626,Annapurna Curry House Multicuisine,,
214,66,365,1229.36,User_66,Chennai,Gold,66,Udupi Kitchen Multicuisine,,
215,1087,446,334.56,User_1087,Pune,Regular,1087,Annapurna Cafe Andhra,,
216,105,106,455.32,User_105,Hyderabad,Gold,105,Spice Foods Non-Veg,,
217,1846,376,538.3,User_1846,Chennai,Regular,1846,Amma Cafe Non-Veg,,
218,327,138,825.18,User_327,Hyderabad,Regular,327,Classic Mess Punjabi,,
219,430,125,883.67,User_430,Hyderabad,Gold,430,Sai Foods Family Restaurant,,
220,1154,132,394.85,User_1154,Bangalore,Regular,1154,Spice Tiffins Chinese,,
221,2922,338,616.19,User_2922,Chennai,Gold,2922,Grand Kitchen Non-Veg,,
222,1884,459,572.97,User_1884,Chennai,Regular,1884,Sai Delights Non-Veg,,
223,1118,407,1477.26,User_1118,Pune,Gold,1118,Grand Cafe Chinese,,
224,370,277,1130.13,User_370,Bangalore,Gold,370,Swagath Restaurant North Indian,,
225,2992,47,491.77,User_2992,Bangalore,Regular,2992,Ruchi Cafe Punjabi,,
226,2341,100,307.03,User_2341,Bangalore,Regular,2341,Spice Delights Family Restaurant,,
227,77,466,361.97,User_77,Pune,Regular,77,Sai Cafe South Indian,,
228,2302,196,618.25,User_2302,Chennai,Regular,2302,Hotel Curry House Chinese,,
229,760,351,672.94,User_760,Chennai,Regular,760,Spice Dhaba Non-Veg,,
230,2064,186,1406.25,User_2064,Hyderabad,Regular,2064,Darbar Restaurant North Indian,,
231,399,280,272.23,User_399,Bangalore,Regular,399,Taste of Dhaba Andhra,,
232,196,419,744.13,User_196,Hyderabad,Gold,196,Darbar Delights Andhra,,
233,2278,492,661.75,User_2278,Bangalore,Gold,2278,Swagath Kitchen North Indian,,
234,2342,62,724.11,User_2342,Pune,Regular,2342,Spice Delights Andhra,,
235,629,2,144.79,User_629,Bangalore,Gold,629,Royal Delights South Indian,,
236,1298,349,735.33,User_1298,Chennai,Gold,1298,Taste of Eatery Punjabi,,
237,991,329,379.94,User_991,Pune,Regular,991,Spice Tiffins Pure Veg,,
238,1695,140,745.99,User_1695,Bangalore,Gold,1695,Royal Tiffins Punjabi,,
239,2165,272,572.94,User_2165,Chennai,Gold,2165,New Dhaba Pure Veg,,
240,1879,97,1296.96,User_1879,Hyderabad,Gold,1879,Annapurna Delights Andhra,,
241,2067,438,1339.09,User_2067,Chennai,Gold,2067,Grand Biryani Pure Veg,,
242,2160,198,809.35,User_2160,Chennai,Regular,2160,Annapurna Tiffins North Indian,,
243,690,17,1139.5,User_690,Hyderabad,Gold,690,Udupi Delights Non-Veg,,
244,323,55,506.36,User_323,Bangalore,Regular,323,Darbar Restaurant Multicuisine,,
245,1067,470,793.48,User_1067,Bangalore,Regular,1067,Darbar Foods Multicuisine,,
246,2438,339,212.5,User_2438,Pune,Gold,2438,Annapurna Eatery South Indian,,
247,170,315,662.32,User_170,Hyderabad,Gold,170,Swagath Curry House Chinese,,
248,958,6,931.29,User_958,Chennai,Gold,958,Ruchi Restaurant South Indian,,
249,478,438,238.03,User_478,Pune,Regular,478,Grand Biryani Pure Veg,,
250,2143,406,1067.0,User_2143,Hyderabad,Regular,2143,Spice Foods Non-Veg,,
251,2575,250,248.07,User_2575,Hyderabad,Regular,2575,Sai Foods Non-Veg,,
252,677,396,1032.04,User_677,Chennai,Gold,677,Taste of Delights Non-Veg,,
253,344,316,1117.08,User_344,Chennai,Gold,344,Darbar Tiffins Andhra,,
254,2588,270,793.84,User_2588,Hyderabad,Regular,2588,Taste of Biryani North Indian,,
255,2125,279,655.05,User_2125,Pune,Gold,2125,Sri Tiffins Andhra,,
256,1220,205,212.44,User_1220,Hyderabad,Regular,1220,Sri Mess North Indian,,
257,943,396,965.63,User_943,Chennai,Regular,943,Taste of Delights Non-Veg,,
258,968,481,1159.83,User_968,Bangalore,Regular,968,Sai Restaurant Non-Veg,,
259,775,315,1152.68,User_775,Chennai,Regular,775,Swagath Curry House Chinese,,
260,2482,70,314.23,User_2482,Chennai,Regular,2482,Swagath Delights Punjabi,,
261,1680,187,369.43,User_1680,Pune,Regular,1680,Royal Kitchen North Indian,,
262,1130,188,256.62,User_1130,Chennai,Gold,1130,Swagath Mess Multicuisine,,
263,1026,247,335.79,User_1026,Chennai,Gold,1026,Hotel Mess Punjabi,,
264,597,106,141.92,User_597,Hyderabad,Regular,597,Spice Foods Non-Veg,,
265,803,152,1424.31,User_803,Hyderabad,Regular,803,Hotel Curry House Punjabi,,
266,2519,60,523.34,User_2519,Chennai,Gold,2519,Grand Restaurant North Indian,,
267,956,357,980.0,User_956,Chennai,Gold,956,Grand Mess Punjabi,,
268,1484,496,403.36,User_1484,Chennai,Gold,1484,Swagath Eatery Multicuisine,,
269,1691,339,1300.3,User_1691,Pune,Gold,1691,Annapurna Eatery South Indian,,
270,427,332,1198.77,User_427,Pune,Gold,427,Classic Delights Family Restaurant,,
271,565,284,798.3,User_565,Bangalore,Regular,565,Ruchi Foods Multicuisine,,
272,1489,331,1120.81,User_1489,Bangalore,Regular,1489,Spice Biryani Non-Veg,,
273,2316,135,527.2,User_2316,Hyderabad,Regular,2316,Amma Eatery Non-Veg,,
274,679,170,803.59,User_679,Chennai,Regular,679,Spice Tiffins Family Restaurant,,
275,1754,256,301.25,User_1754,Chennai,Gold,1754,Sri Curry House Andhra,,
276,2191,125,269.2,User_2191,Pune,Gold,2191,Sai Foods Family Restaurant,,
277,2403,282,205.98,User_2403,Pune,Gold,2403,Hotel Curry House Chinese,,
278,2124,343,1388.57,User_2124,Hyderabad,Gold,2124,Sai Cafe Andhra,,
279,1505,493,916.46,User_1505,Pune,Gold,1505,Darbar Restaurant Multicuisine,,
280,443,263,1032.33,User_443,Hyderabad,Regular,443,Grand Curry House Andhra,,
281,349,271,850.33,User_349,Bangalore,Regular,349,Hotel Curry House North Indian,,
282,2071,224,742.69,User_2071,Hyderabad,Regular,2071,Darbar Kitchen Non-Veg,,
283,55,175,1434.2,User_55,Bangalore,Regular,55,Sai Biryani Non-Veg,,
284,1174,366,951.22,User_1174,Pune,Regular,1174,Swagath Mess Chinese,,
285,764,365,571.04,User_764,Hyderabad,Regular,764,Udupi Kitchen Multicuisine,,
286,1446,81,711.18,User_1446,Pune,Regular,1446,Darbar Mess Chinese,,
287,4,449,1010.1,User_4,Bangalore,Regular,4,Sai Restaurant South Indian,,
288,2098,442,560.28,User_2098,Bangalore,Regular,2098,Sai Eatery Andhra,,
289,186,163,219.4,User_186,Chennai,Regular,186,Spice Delights Multicuisine,,
290,1213,163,258.46,User_1213,Pune,Regular,1213,Spice Delights Multicuisine,,
291,936,147,534.05,User_936,Pune,Gold,936,Amma Cafe South Indian,,
292,2160,200,248.1,User_2160,Chennai,Regular,2160,Annapurna Restaurant Pure Veg,,
293,1646,119,1190.26,User_1646,Bangalore,Gold,1646,Spice Restaurant Non-Veg,,
294,537,483,549.97,User_537,Bangalore,Regular,537,Darbar Restaurant Family Restaurant,,
295,595,206,391.4,User_595,Chennai,Regular,595,Swagath Biryani Non-Veg,,
296,2928,147,1035.36,User_2928,Pune,Gold,2928,Amma Cafe South Indian,,
297,2594,301,300.6,User_2594,Pune,Regular,2594,Classic Tiffins North Indian,,
298,1305,85,824.92,User_1305,Chennai,Regular,1305,Royal Kitchen South Indian,,
299,1628,197,504.65,User_1628,Hyderabad,Gold,1628,Sri Curry House North Indian,,
300,2694,204,1307.89,User_2694,Bangalore,Regular,2694,Udupi Dhaba Non-Veg,,
301,1164,202,1020.89,User_1164,Bangalore,Regular,1164,Swagath Foods Chinese,,
302,2118,234,690.95,User_2118,Chennai,Regular,2118,Swagath Kitchen North Indian,,
303,1395,111,121.39,User_1395,Hyderabad,Gold,1395,Ruchi Dhaba Chinese,,
304,2401,432,993.25,User_2401,Bangalore,Gold,2401,Hotel Eatery Pure Veg,,
305,1262,329,1462.67,User_1262,Pune,Gold,1262,Spice Tiffins Pure Veg,,
306,2233,18,772.47,User_2233,Hyderabad,Regular,2233,Annapurna Kitchen Family Restaurant,,
307,1150,497,345.66,User_1150,Bangalore,Gold,1150,Hotel Delights South Indian,,
308,757,438,1204.97,User_757,Pune,Gold,757,Grand Biryani Pure Veg,,
309,1344,76,1494.0,User_1344,Hyderabad,Gold,1344,Amma Kitchen Punjabi,,
310,1402,113,365.5,User_1402,Pune,Regular,1402,Darbar Biryani Pure Veg,,
311,832,103,919.29,User_832,Chennai,Regular,832,Darbar Restaurant North Indian,,
312,1921,242,1026.01,User_1921,Pune,Gold,1921,Classic Dhaba Punjabi,,
313,2183,333,348.63,User_2183,Hyderabad,Gold,2183,Amma Mess Multicuisine,,
314,2177,410,865.98,User_2177,Hyderabad,Regular,2177,Darbar Mess Pure Veg,,
315,2474,32,245.73,User_2474,Chennai,Gold,2474,Udupi Eatery North Indian,,
316,2280,251,319.08,User_2280,Bangalore,Regular,2280,Grand Curry House Andhra,,
317,322,143,262.36,User_322,Pune,Regular,322,Classic Cafe Punjabi,,
318,1739,303,1443.73,User_1739,Pune,Regular,1739,Swagath Foods Andhra,,
319,694,83,420.56,User_694,Bangalore,Gold,694,Darbar Mess Pure Veg,,
320,2555,262,1431.39,User_2555,Bangalore,Regular,2555,Hotel Cafe Punjabi,,
